,Unnamed: 0,index,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,TEAM_ID_OPP,TEAM_ABBREVIATION_OPP,TEAM_NAME_OPP,GAME_DATE_OPP,MATCHUP_OPP,WL_OPP,MIN_OPP,FGM_OPP,FGA_OPP,FG_PCT_OPP,FG3M_OPP,FG3A_OPP,FG3_PCT_OPP,FTM_OPP,FTA_OPP,FT_PCT_OPP,OREB_OPP,DREB_OPP,REB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,PLUS_MINUS_OPP,PACE,POSSESSIONS,OFF_RTG,DEF_RTG,NET_RTG,EFG,TOV_PCT,OREB_PCT,DREB_PCT,FT_PER_FGA,PACE_OPP,POSSESSIONS_OPP,OFF_RTG_OPP,DEF_RTG_OPP,NET_RTG_OPP,EFG_OPP,TOV_PCT_OPP,OREB_PCT_OPP,DREB_PCT_OPP,FT_PER_FGA_OPP,HOME,Model Win Prob
9198,9198,1,1610612747.0,LAL,Los Angeles Lakers,22300061,2023-10-24,LAL @ DEN,0,240,41.0,90.0,0.456,10.0,29.0,0.345,15.0,20.0,0.75,13.0,31.0,44.0,23.0,5.0,4.0,12.0,18.0,107.0,-12.0,1610612743,DEN,Denver Nuggets,2023-10-24,DEN vs. LAL,W,240,48.0,91.0,0.527,14.0,34.0,0.412,9.0,12.0,0.75,9.0,33.0,42.0,29.0,9.0,6.0,12.0,15.0,119.0,12.0,96.31528804347828,96.31528804347828,111.09347453926368,123.55255579600352,-12.45908125673985,0.5111111111111111,0.1083032490974729,0.2826086956521739,0.775,0.1666666666666666,96.31528804347828,96.31528804347823,123.55255579600356,111.0934745392637,12.45908125673985,0.6043956043956044,0.1108237901736239,0.225,0.717391304347826,0.0989010989010989,0.0,0.14958473
9199,9199,2,1610612743.0,DEN,Denver Nuggets,22300061,2023-10-24,DEN vs. LAL,1,240,48.0,91.0,0.527,14.0,34.0,0.412,9.0,12.0,0.75,9.0,33.0,42.0,29.0,9.0,6.0,12.0,15.0,119.0,12.0,1610612747,LAL,Los Angeles Lakers,2023-10-24,LAL @ DEN,L,240,41.0,90.0,0.456,10.0,29.0,0.345,15.0,20.0,0.75,13.0,31.0,44.0,23.0,5.0,4.0,12.0,18.0,107.0,-12.0,96.31528804347823,96.31528804347823,123.55255579600356,111.0934745392637,12.45908125673985,0.6043956043956044,0.1108237901736239,0.225,0.717391304347826,0.0989010989010989,96.31528804347823,96.31528804347828,111.09347453926368,123.55255579600352,-12.45908125673985,0.5111111111111111,0.1083032490974729,0.2826086956521739,0.775,0.1666666666666666,1.0,0.8942775
9200,9200,5,1610612756.0,PHX,Phoenix Suns,22300062,2023-10-24,PHX @ GSW,1,240,42.0,95.0,0.442,11.0,33.0,0.333,13.0,17.0,0.765,17.0,43.0,60.0,23.0,5.0,7.0,19.0,22.0,108.0,4.0,1610612744,GSW,Golden State Warriors,2023-10-24,GSW vs. PHX,L,240,36.0,101.0,0.356,10.0,43.0,0.233,22.0,28.0,0.786,18.0,31.0,49.0,19.0,11.0,6.0,11.0,23.0,104.0,-4.0,101.6961287568306,101.6961287568306,106.19873275436358,102.2654463560538,3.933286398309761,0.5,0.1564043463944682,0.3541666666666667,0.7049180327868853,0.1368421052631579,101.6961287568306,101.6961287568306,102.2654463560538,106.19873275436356,-3.933286398309761,0.4059405940594059,0.0884813384813384,0.2950819672131147,0.6458333333333334,0.2178217821782178,0.0,0.59803486
9201,9201,6,1610612744.0,GSW,Golden State Warriors,22300062,2023-10-24,GSW vs. PHX,0,240,36.0,101.0,0.356,10.0,43.0,0.233,22.0,28.0,0.786,18.0,31.0,49.0,19.0,11.0,6.0,11.0,23.0,104.0,-4.0,1610612756,PHX,Phoenix Suns,2023-10-24,PHX @ GSW,W,240,42.0,95.0,0.442,11.0,33.0,0.333,13.0,17.0,0.765,17.0,43.0,60.0,23.0,5.0,7.0,19.0,22.0,108.0,4.0,101.6961287568306,101.6961287568306,102.2654463560538,106.19873275436356,-3.933286398309761,0.4059405940594059,0.0884813384813384,0.2950819672131147,0.6458333333333334,0.2178217821782178,101.6961287568306,101.6961287568306,106.19873275436358,102.2654463560538,3.933286398309761,0.5,0.1564043463944682,0.3541666666666667,0.7049180327868853,0.1368421052631579,1.0,0.41203353
9202,9202,9,1610612746.0,LAC,LA Clippers,22300074,2023-10-25,LAC vs. POR,1,240,47.0,90.0,0.522,16.0,34.0,0.471,13.0,16.0,0.813,14.0,31.0,45.0,36.0,11.0,7.0,18.0,20.0,123.0,12.0,1610612757,POR,Portland Trail Blazers,2023-10-25,POR @ LAC,L,240,44.0,93.0,0.473,10.0,32.0,0.313,13.0,17.0,0.765,15.0,25.0,40.0,20.0,10.0,4.0,18.0,20.0,111.0,-12.0,99.29342530657748,99.29342530657748,123.87527131854532,111.7898789947848,12.085392323760516,0.6111111111111112,0.1564673157162726,0.358974358974359,0.6739130434782609,0.1444444444444444,99.29342530657748,99.29342530657748,111.7898789947848,123.87527131854532,-12.085392323760516,0.5268817204301075,0.1519243754220121,0.3260869565217391,0.6410256410256411,0.1397849462365591,1.0,0.893556
9203,9203,10,1610612757.0,POR,Portland Trail Blazers,22300074,2023-10-25,POR @ LAC,0,240,44.0,93.0,0.473,10.0,32.0,0.313,13.0,17.0,0.765,15.0,25.0,40.0,20.0,10.0,4.0,18.0,20.0,111.0,-12.0,1610612746,LAC,LA Clippers,2023-10-25,LAC vs. POR,W,240,47.0,90.0,0.522,16.0,34.0,0.471,13.0,16.0,0.813,14.0,31.0,45.0,36.0,11.0,7.0,18.0,20.0,123.0,12.0,99.29342530657748,99.29342530657748,111.7898789947848,123.87527131854532,-12.085392323760516,0.5268817204301075,0.1519243754220121,0.3260869565217391,0.6410256410256411,0.1397849462365591,99.29342530657748,99.29342530657748,123.87527131854532,111.7898789947848,12.085392323760516,0.6111111111111112,0.1564673157162726,0.358974358974359,0.6739130434782609,0.1444444444444444,0.0,0.07927326
9204,9204,13,1610612753.0,ORL,Orlando Magic,22300066,2023-10-25,ORL vs. HOU,1,240,42.0,87.0,0.483,9.0,34.0,0.265,23.0,26.0,0.885,17.0,40.0,57.0,19.0,8.0,6.0,16.0,20.0,116.0,30.0,1610612745,HOU,Houston Rockets,2023-10-25,HOU @ ORL,L,240,32.0,79.0,0.405,12.0,34.0,0.353,10.0,16.0,0.625,7.0,24.0,31.0,19.0,6.0,3.0,19.0,24.0,86.0,-30.0,95.17268292682928,95.17268292682928,121.88371330162376,90.3620633098245,31.52164999179925,0.5344827586206896,0.1398112548060119,0.4146341463414634,0.851063829787234,0.264367816091954,95.17268292682928,95.17268292682928,90.36206330982448,121.88371330162371,-31.521649991799237,0.4810126582278481,0.1808834729626808,0.1489361702127659,0.5853658536585366,0.1265822784810126,1.0,0.9887066
9205,9205,14,1610612745.0,HOU,Houston Rockets,22300066,2023-10-25,HOU @ ORL,0,240,32.0,79.0,0.405,12.0,34.0,0.353,10.0,16.0,0.625,7.0,24.0,31.0,19.0,6.0,3.0,19.0,24.0,86.0,-30.0,1610612753,ORL,Orlando Magic,2023-10-25,ORL vs. HOU,W,240,42.0,87.0,0.483,9.0,34.0,0.265,23.0,26.0,0.885,17.0,40.0,57.0,19.0,8.0,6.0,16.0,20.0,116.0,30.0,95.17268292682928,95.17268292682928,90.36206330982448,121.88371330162371,-31.521649991799237,0.4810126582278481,0.1808834729626808,0.1489361702127659,0.5853658536585366,0.1265822784810126,95.17268292682928,95.17268292682928,121.88371330162376,90.3620633098245,31.52164999179925,0.5344827586206896,0.1398112548060119,0.4146341463414634,0.851063829787234,0.264367816091954,0.0,0.004372277
9206,9206,17,1610612759.0,SAS,San Antonio Spurs,22300073,2023-10-25,SAS vs. DAL,0,240,46.0,89.0,0.517,11.0,35.0,0.314,16.0,22.0,0.727,9.0,36.0,45.0,33.0,8.0,5.0,19.0,23.0,119.0,-7.0,1610612742,DAL,Dallas Mavericks,2023-10-25,DAL @ SAS,W,240,47.0,99.0,0.475,15.0,47.0,0.319,17.0,23.0,0.739,13.0,35.0,48.0,24.0,6.0,3.0,12.0,20.0,126.0,7.0,106.4136154916512,106.4136154916512,111.82779520289516,118.40590080306544,-6.578105600170289,0.5786516853932584,0.1614547926580557,0.2045454545454545,0.7346938775510204,0.1797752808988764,106.4136154916512,106.4136154916512,118.40590080306542,111.82779520289512,6.578105600170289,0.5505050505050505,0.0990752972258916,0.2653061224489796,0.7954545454545454,0.1717171717171717,1.0,0.34005192
9207,9207,18,1610612742.0,DAL,Dallas Mavericks,22300073,2023-10-25,DAL @ SAS,1,240,47.0,99.0,0.475,15.0,47.0,0.319,17.0,23.0,0.739,13.0,35.0,48.0,24.0,6.0,3.0,12.0,20.0,126.0,7.0,1610612759,SAS,San Antonio Spurs,2023-10-25,SAS vs. DAL,L,240,46.0,89.0,0.517,11.0,35.0,0.314,16.0,22.0,0.727,9.0,36.0,45.0,33.0,8.0,5.0,19.0,23.0,119.0,-7.0,106.4136154916512,106.4136154916512,118.40590080306542,111.82779520289512,6.578105600170289,0.5505050505050505,0.0990752972258916,0.2653061224489796,0.7954545454545454,0.1717171717171717,106.4136154916512,106.4136154916512,111.82779520289516,118.40590080306544,-6.578105600170289,0.5786516853932584,0.1614547926580557,0.2045454545454545,0.7346938775510204,0.1797752808988764,0.0,0.6948807
