,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,Model Win Prob
14152,1610612740,NOP,New Orleans Pelicans,22500095,2025-10-24,NOP vs. SAS,0,0.47244912
14153,1610612742,DAL,Dallas Mavericks,22500096,2025-10-24,DAL vs. WAS,0,0.14928639
14154,1610612746,LAC,LA Clippers,22500099,2025-10-24,LAC vs. PHX,1,0.25669253
14155,1610612747,LAL,Los Angeles Lakers,22500019,2025-10-24,LAL vs. MIN,1,0.6069126
14159,1610612751,BKN,Brooklyn Nets,22500091,2025-10-24,BKN vs. CLE,0,0.38519725
14160,1610612752,NYK,New York Knicks,22500018,2025-10-24,NYK vs. BOS,1,0.76783115
14161,1610612757,POR,Portland Trail Blazers,22500097,2025-10-24,POR vs. GSW,1,0.4084419
14162,1610612758,SAC,Sacramento Kings,22500098,2025-10-24,SAC vs. UTA,1,0.23279095
14164,1610612761,TOR,Toronto Raptors,22500092,2025-10-24,TOR vs. MIL,0,0.56162924
14166,1610612763,MEM,Memphis Grizzlies,22500094,2025-10-24,MEM vs. MIA,0,0.7425113
14168,1610612745,HOU,Houston Rockets,22500093,2025-10-24,HOU vs. DET,0,0.4257091
14169,1610612753,ORL,Orlando Magic,22500090,2025-10-24,ORL vs. ATL,0,0.8626771
14174,1610612743,DEN,Denver Nuggets,22500104,2025-10-25,DEN vs. PHX,1,0.7935231
14175,1610612755,PHI,Philadelphia 76ers,22500102,2025-10-25,PHI vs. CHA,1,0.48570535
14177,1610612763,MEM,Memphis Grizzlies,22500103,2025-10-25,MEM vs. IND,1,0.39190587
14179,1610612737,ATL,Atlanta Hawks,22500101,2025-10-25,ATL vs. OKC,0,0.40621826
14183,1610612753,ORL,Orlando Magic,22500100,2025-10-25,ORL vs. CHI,0,0.65212524
14185,1610612739,CLE,Cleveland Cavaliers,22500107,2025-10-26,CLE vs. MIL,1,0.47889987
14186,1610612742,DAL,Dallas Mavericks,22500111,2025-10-26,DAL vs. TOR,1,0.1713556
14188,1610612748,MIA,Miami Heat,22500108,2025-10-26,MIA vs. NYK,1,0.68247706
14190,1610612750,MIN,Minnesota Timberwolves,22500110,2025-10-26,MIN vs. IND,1,0.6813615
14191,1610612759,SAS,San Antonio Spurs,22500105,2025-10-26,SAS vs. BKN,1,0.9535888
14197,1610612758,SAC,Sacramento Kings,22500113,2025-10-26,SAC vs. LAL,0,0.2669153
14198,1610612764,WAS,Washington Wizards,22500109,2025-10-26,WAS vs. CHA,0,0.7454743
14199,1610612765,DET,Detroit Pistons,22500106,2025-10-26,DET vs. BOS,1,0.72665715
14200,1610612746,LAC,LA Clippers,22500112,2025-10-26,LAC vs. POR,1,0.686102
14203,1610612741,CHI,Chicago Bulls,22500115,2025-10-27,CHI vs. ATL,1,0.80621856
14204,1610612745,HOU,Houston Rockets,22500116,2025-10-27,HOU vs. BKN,1,0.71274835
14205,1610612750,MIN,Minnesota Timberwolves,22500008,2025-10-27,MIN vs. DEN,0,0.34414858
14210,1610612762,UTA,Utah Jazz,22500120,2025-10-27,UTA vs. PHX,1,0.9350535
14214,1610612740,NOP,New Orleans Pelicans,22500117,2025-10-27,NOP vs. BOS,0,0.58737856
14215,1610612742,DAL,Dallas Mavericks,22500119,2025-10-27,DAL vs. OKC,0,0.3640401
14217,1610612747,LAL,Los Angeles Lakers,22500122,2025-10-27,LAL vs. POR,0,0.7535559
14219,1610612755,PHI,Philadelphia 76ers,22500114,2025-10-27,PHI vs. ORL,1,0.6325991
14221,1610612765,DET,Detroit Pistons,22500007,2025-10-27,DET vs. CLE,0,0.78224707
14222,1610612744,GSW,Golden State Warriors,22500121,2025-10-27,GSW vs. MEM,1,0.6806108
14223,1610612759,SAS,San Antonio Spurs,22500118,2025-10-27,SAS vs. TOR,1,0.8672359
14224,1610612748,MIA,Miami Heat,22500124,2025-10-28,MIA vs. CHA,1,0.69305277
14226,1610612744,GSW,Golden State Warriors,22500127,2025-10-28,GSW vs. LAC,1,0.5658355
14228,1610612749,MIL,Milwaukee Bucks,22500125,2025-10-28,MIL vs. NYK,1,0.72254354
14231,1610612760,OKC,Oklahoma City Thunder,22500126,2025-10-28,OKC vs. SAC,1,0.7559652
14232,1610612764,WAS,Washington Wizards,22500123,2025-10-28,WAS vs. PHI,0,0.6824369
14236,1610612742,DAL,Dallas Mavericks,22500133,2025-10-29,DAL vs. IND,1,0.5462485
14237,1610612750,MIN,Minnesota Timberwolves,22500136,2025-10-29,MIN vs. LAL,0,0.35640258
14238,1610612756,PHX,Phoenix Suns,22500137,2025-10-29,PHX vs. MEM,0,0.40190145
14240,1610612761,TOR,Toronto Raptors,22500131,2025-10-29,TOR vs. HOU,0,0.7266679
14243,1610612738,BOS,Boston Celtics,22500128,2025-10-29,BOS vs. CLE,1,0.68933535
14248,1610612762,UTA,Utah Jazz,22500135,2025-10-29,UTA vs. POR,0,0.6878956
14249,1610612765,DET,Detroit Pistons,22500129,2025-10-29,DET vs. ORL,1,0.5439552
14250,1610612741,CHI,Chicago Bulls,22500132,2025-10-29,CHI vs. SAC,1,0.7549253
14251,1610612743,DEN,Denver Nuggets,22500134,2025-10-29,DEN vs. NOP,1,0.8515665
14253,1610612751,BKN,Brooklyn Nets,22500130,2025-10-29,BKN vs. ATL,0,0.49234232
14255,1610612749,MIL,Milwaukee Bucks,22500139,2025-10-30,MIL vs. GSW,1,0.7048173
14257,1610612759,SAS,San Antonio Spurs,22500141,2025-10-30,SAS vs. MIA,1,0.731023
14258,1610612760,OKC,Oklahoma City Thunder,22500140,2025-10-30,OKC vs. WAS,1,0.69984156
14260,1610612766,CHA,Charlotte Hornets,22500138,2025-10-30,CHA vs. ORL,0,0.78385097
14263,1610612739,CLE,Cleveland Cavaliers,22500022,2025-10-31,CLE vs. TOR,0,0.64654994
14264,1610612741,CHI,Chicago Bulls,22500023,2025-10-31,CHI vs. NYK,1,0.66958743
14266,1610612746,LAC,LA Clippers,22500027,2025-10-31,LAC vs. NOP,1,0.83695084
14268,1610612754,IND,Indiana Pacers,22500020,2025-10-31,IND vs. ATL,0,0.7310101
14269,1610612755,PHI,Philadelphia 76ers,22500021,2025-10-31,PHI vs. BOS,0,0.3898173
14270,1610612756,PHX,Phoenix Suns,22500025,2025-10-31,PHX vs. UTA,1,0.32817617
14275,1610612757,POR,Portland Trail Blazers,22500026,2025-10-31,POR vs. DEN,1,0.35489684
14276,1610612763,MEM,Memphis Grizzlies,22500024,2025-10-31,MEM vs. LAL,0,0.39501297
14279,1610612749,MIL,Milwaukee Bucks,22500142,2025-11-01,MIL vs. SAC,0,0.71886283
14282,1610612764,WAS,Washington Wizards,22500145,2025-11-01,WAS vs. ORL,0,0.5493143
14283,1610612738,BOS,Boston Celtics,22500146,2025-11-01,BOS vs. HOU,0,0.7717433
14286,1610612754,IND,Indiana Pacers,22500144,2025-11-01,IND vs. GSW,1,0.49710292
14289,1610612766,CHA,Charlotte Hornets,22500143,2025-11-01,CHA vs. MIN,0,0.74587244
14291,1610612739,CLE,Cleveland Cavaliers,22500151,2025-11-02,CLE vs. ATL,1,0.5564206
14293,1610612747,LAL,Los Angeles Lakers,22500155,2025-11-02,LAL vs. MIA,1,0.5442373
14295,1610612751,BKN,Brooklyn Nets,22500149,2025-11-02,BKN vs. PHI,0,0.42906275
14296,1610612756,PHX,Phoenix Suns,22500154,2025-11-02,PHX vs. SAS,1,0.40856177
14297,1610612760,OKC,Oklahoma City Thunder,22500148,2025-11-02,OKC vs. NOP,1,0.9051978
14299,1610612766,CHA,Charlotte Hornets,22500150,2025-11-02,CHA vs. UTA,1,0.6298927
14301,1610612752,NYK,New York Knicks,22500153,2025-11-02,NYK vs. CHI,1,0.48380458
14304,1610612761,TOR,Toronto Raptors,22500152,2025-11-02,TOR vs. MEM,1,0.60456526
14306,1610612743,DEN,Denver Nuggets,22500162,2025-11-03,DEN vs. SAC,1,0.7313004
14307,1610612745,HOU,Houston Rockets,22500160,2025-11-03,HOU vs. DAL,1,0.7318736
14310,1610612751,BKN,Brooklyn Nets,22500156,2025-11-03,BKN vs. MIN,0,0.39170194
14311,1610612763,MEM,Memphis Grizzlies,22500161,2025-11-03,MEM vs. DET,0,0.5225782
14313,1610612738,BOS,Boston Celtics,22500158,2025-11-03,BOS vs. UTA,0,0.7536058
14315,1610612746,LAC,LA Clippers,22500164,2025-11-03,LAC vs. MIA,0,0.3963429
14317,1610612752,NYK,New York Knicks,22500159,2025-11-03,NYK vs. WAS,1,0.79619545
14318,1610612754,IND,Indiana Pacers,22500157,2025-11-03,IND vs. MIL,0,0.4570964
14319,1610612757,POR,Portland Trail Blazers,22500163,2025-11-03,POR vs. LAL,0,0.45920494
14324,1610612740,NOP,New Orleans Pelicans,22500168,2025-11-04,NOP vs. CHA,1,0.25157052
14327,1610612761,TOR,Toronto Raptors,22500165,2025-11-04,TOR vs. MIL,1,0.5663842
14329,1610612737,ATL,Atlanta Hawks,22500166,2025-11-04,ATL vs. ORL,1,0.56691134
14330,1610612741,CHI,Chicago Bulls,22500167,2025-11-04,CHI vs. PHI,1,0.69634104
14331,1610612744,GSW,Golden State Warriors,22500169,2025-11-04,GSW vs. PHX,1,0.77964485
14332,1610612746,LAC,LA Clippers,22500170,2025-11-04,LAC vs. OKC,0,0.3241699
14336,1610612738,BOS,Boston Celtics,22500174,2025-11-05,BOS vs. WAS,1,0.77803785
