,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds
0,0,2023-10-24T12:00:00Z,Denver Nuggets vs Los Angeles Lakers,draftkings,Denver Nuggets,-218,0.6855345911949685,180
1,1,2023-10-24T12:00:00Z,Denver Nuggets vs Los Angeles Lakers,draftkings,Los Angeles Lakers,180,0.35714285714285715,-218
2,2,2023-10-24T12:00:00Z,Golden State Warriors vs Phoenix Suns,draftkings,Golden State Warriors,-112,0.5283018867924528,-108
3,3,2023-10-24T12:00:00Z,Golden State Warriors vs Phoenix Suns,draftkings,Phoenix Suns,-108,0.5192307692307693,-112
4,4,2023-10-25T12:00:00Z,Charlotte Hornets vs Atlanta Hawks,draftkings,Atlanta Hawks,-170,0.6296296296296297,142
5,5,2023-10-25T12:00:00Z,Charlotte Hornets vs Atlanta Hawks,draftkings,Charlotte Hornets,142,0.4132231404958678,-170
6,6,2023-10-25T12:00:00Z,New York Knicks vs Boston Celtics,draftkings,Boston Celtics,-162,0.6183206106870229,140
7,7,2023-10-25T12:00:00Z,New York Knicks vs Boston Celtics,draftkings,New York Knicks,140,0.4166666666666667,-162
8,8,2023-10-25T12:00:00Z,Orlando Magic vs Houston Rockets,draftkings,Houston Rockets,142,0.4132231404958678,-170
9,9,2023-10-25T12:00:00Z,Orlando Magic vs Houston Rockets,draftkings,Orlando Magic,-170,0.6296296296296297,142
10,10,2023-10-25T12:00:00Z,Indiana Pacers vs Washington Wizards,draftkings,Indiana Pacers,-270,0.7297297297297297,220
11,11,2023-10-25T12:00:00Z,Indiana Pacers vs Washington Wizards,draftkings,Washington Wizards,220,0.3125,-270
12,12,2023-10-25T12:00:00Z,Brooklyn Nets vs Cleveland Cavaliers,draftkings,Brooklyn Nets,-105,0.5121951219512195,-115
13,13,2023-10-25T12:00:00Z,Brooklyn Nets vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-115,0.5348837209302325,-105
14,14,2023-10-25T12:00:00Z,Miami Heat vs Detroit Pistons,draftkings,Detroit Pistons,330,0.23255813953488372,-425
15,15,2023-10-25T12:00:00Z,Miami Heat vs Detroit Pistons,draftkings,Miami Heat,-425,0.8095238095238095,330
16,16,2023-10-25T12:00:00Z,Toronto Raptors vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,-115,0.5348837209302325,-105
17,17,2023-10-25T12:00:00Z,Toronto Raptors vs Minnesota Timberwolves,draftkings,Toronto Raptors,-105,0.5121951219512195,-115
18,18,2023-10-25T12:00:00Z,Chicago Bulls vs Oklahoma City Thunder,draftkings,Chicago Bulls,-112,0.5283018867924528,-108
