,Unnamed: 0.1,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds,TEAM_NAME,GAME_DATE,Model Win Prob,WL,Difference,Profit
950,984,984,2024-01-02,Memphis Grizzlies vs San Antonio Spurs,draftkings,Memphis Grizzlies,-700,0.875,500,Memphis Grizzlies,2024-01-02,0.23817776,1,-0.63682224,-100.0
475,490,490,2023-11-27,Indiana Pacers vs Portland Trail Blazers,draftkings,Indiana Pacers,-800,0.8888888888888888,550,Indiana Pacers,2023-11-27,0.36566487,0,-0.5232240188888888,550.0
2034,2107,2107,2024-03-23,Washington Wizards vs Toronto Raptors,draftkings,Washington Wizards,-230,0.696969696969697,190,Washington Wizards,2024-03-23,0.17915143,1,-0.517818266969697,-100.0
2357,2442,2442,2024-04-14,Oklahoma City Thunder vs Dallas Mavericks,draftkings,Dallas Mavericks,1000,0.0909090909090909,-1800,Dallas Mavericks,2024-04-14,0.60691005,0,0.516000959090909,-100.0
1134,1175,1175,2024-01-15,Washington Wizards vs Detroit Pistons,draftkings,Washington Wizards,-225,0.6923076923076923,185,Washington Wizards,2024-01-15,0.18767464,0,-0.5046330523076923,185.0
2186,2265,2265,2024-04-03,Boston Celtics vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,295,0.2531645569620253,-375,Oklahoma City Thunder,2024-04-03,0.753855,0,0.5006904430379748,-100.0
1592,1649,1649,2024-02-22,Indiana Pacers vs Detroit Pistons,draftkings,Indiana Pacers,-675,0.8709677419354839,490,Indiana Pacers,2024-02-22,0.3722041,1,-0.4987636419354839,-100.0
1526,1581,1581,2024-02-12,Charlotte Hornets vs Indiana Pacers,draftkings,Indiana Pacers,-625,0.8620689655172413,455,Indiana Pacers,2024-02-12,0.36399934,0,-0.4980696255172413,455.0
2332,2416,2416,2024-04-12,Oklahoma City Thunder vs Milwaukee Bucks,draftkings,Milwaukee Bucks,650,0.1333333333333333,-1000,Milwaukee Bucks,2024-04-12,0.6307421,0,0.49740876666666667,-100.0
1673,1733,1733,2024-02-27,Boston Celtics vs Philadelphia 76ers,draftkings,Philadelphia 76ers,525,0.16,-750,Philadelphia 76ers,2024-02-27,0.65694714,0,0.49694713999999995,-100.0
