Date,Matchup,Bookmaker,Team,Moneyline Odds
2023-10-24T12:00:00Z,Denver Nuggets vs Los Angeles Lakers,draftkings,Denver Nuggets,-218
2023-10-24T12:00:00Z,Denver Nuggets vs Los Angeles Lakers,draftkings,Los Angeles Lakers,180
2023-10-24T12:00:00Z,Golden State Warriors vs Phoenix Suns,draftkings,Golden State Warriors,-112
2023-10-24T12:00:00Z,Golden State Warriors vs Phoenix Suns,draftkings,Phoenix Suns,-108
2023-10-25T12:00:00Z,Charlotte Hornets vs Atlanta Hawks,draftkings,Atlanta Hawks,-170
2023-10-25T12:00:00Z,Charlotte Hornets vs Atlanta Hawks,draftkings,Charlotte Hornets,142
2023-10-25T12:00:00Z,New York Knicks vs Boston Celtics,draftkings,Boston Celtics,-162
2023-10-25T12:00:00Z,New York Knicks vs Boston Celtics,draftkings,New York Knicks,140
2023-10-25T12:00:00Z,Orlando Magic vs Houston Rockets,draftkings,Houston Rockets,142
2023-10-25T12:00:00Z,Orlando Magic vs Houston Rockets,draftkings,Orlando Magic,-170
2023-10-25T12:00:00Z,Indiana Pacers vs Washington Wizards,draftkings,Indiana Pacers,-270
2023-10-25T12:00:00Z,Indiana Pacers vs Washington Wizards,draftkings,Washington Wizards,220
2023-10-25T12:00:00Z,Brooklyn Nets vs Cleveland Cavaliers,draftkings,Brooklyn Nets,-105
2023-10-25T12:00:00Z,Brooklyn Nets vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-115
2023-10-25T12:00:00Z,Miami Heat vs Detroit Pistons,draftkings,Detroit Pistons,330
2023-10-25T12:00:00Z,Miami Heat vs Detroit Pistons,draftkings,Miami Heat,-425
2023-10-25T12:00:00Z,Toronto Raptors vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,-115
2023-10-25T12:00:00Z,Toronto Raptors vs Minnesota Timberwolves,draftkings,Toronto Raptors,-105
2023-10-25T12:00:00Z,Chicago Bulls vs Oklahoma City Thunder,draftkings,Chicago Bulls,-112
2023-10-25T12:00:00Z,Chicago Bulls vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,-108
2023-10-25T12:00:00Z,Memphis Grizzlies vs New Orleans Pelicans,draftkings,Memphis Grizzlies,-105
2023-10-25T12:00:00Z,Memphis Grizzlies vs New Orleans Pelicans,draftkings,New Orleans Pelicans,-115
2023-10-25T12:00:00Z,Utah Jazz vs Sacramento Kings,draftkings,Sacramento Kings,-125
2023-10-25T12:00:00Z,Utah Jazz vs Sacramento Kings,draftkings,Utah Jazz,105
2023-10-25T12:00:00Z,San Antonio Spurs vs Dallas Mavericks,draftkings,Dallas Mavericks,-162
2023-10-25T12:00:00Z,San Antonio Spurs vs Dallas Mavericks,draftkings,San Antonio Spurs,136
2023-10-25T12:00:00Z,Los Angeles Clippers vs Portland Trail Blazers,draftkings,Los Angeles Clippers,-425
2023-10-25T12:00:00Z,Los Angeles Clippers vs Portland Trail Blazers,draftkings,Portland Trail Blazers,330
2023-10-26T12:00:00Z,Milwaukee Bucks vs Philadelphia 76ers,draftkings,Milwaukee Bucks,-238
2023-10-26T12:00:00Z,Milwaukee Bucks vs Philadelphia 76ers,draftkings,Philadelphia 76ers,195
2023-10-26T12:00:00Z,Los Angeles Lakers vs Phoenix Suns,draftkings,Los Angeles Lakers,-218
2023-10-26T12:00:00Z,Los Angeles Lakers vs Phoenix Suns,draftkings,Phoenix Suns,180
2023-10-27T12:00:00Z,Charlotte Hornets vs Detroit Pistons,draftkings,Charlotte Hornets,-166
2023-10-27T12:00:00Z,Charlotte Hornets vs Detroit Pistons,draftkings,Detroit Pistons,140
2023-10-27T12:00:00Z,Memphis Grizzlies vs Denver Nuggets,draftkings,Denver Nuggets,-205
2023-10-27T12:00:00Z,Memphis Grizzlies vs Denver Nuggets,draftkings,Memphis Grizzlies,170
2023-10-27T12:00:00Z,Atlanta Hawks vs New York Knicks,draftkings,Atlanta Hawks,-120
2023-10-27T12:00:00Z,Atlanta Hawks vs New York Knicks,draftkings,New York Knicks,100
2023-10-27T12:00:00Z,Boston Celtics vs Miami Heat,draftkings,Boston Celtics,-310
2023-10-27T12:00:00Z,Boston Celtics vs Miami Heat,draftkings,Miami Heat,250
2023-10-27T12:00:00Z,Cleveland Cavaliers vs Oklahoma City Thunder,draftkings,Cleveland Cavaliers,-155
2023-10-27T12:00:00Z,Cleveland Cavaliers vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,130
2023-10-27T12:00:00Z,Chicago Bulls vs Toronto Raptors,draftkings,Chicago Bulls,-130
2023-10-27T12:00:00Z,Chicago Bulls vs Toronto Raptors,draftkings,Toronto Raptors,110
2023-10-27T12:00:00Z,San Antonio Spurs vs Houston Rockets,draftkings,Houston Rockets,110
2023-10-27T12:00:00Z,San Antonio Spurs vs Houston Rockets,draftkings,San Antonio Spurs,-135
2023-10-27T12:00:00Z,Dallas Mavericks vs Brooklyn Nets,draftkings,Brooklyn Nets,190
2023-10-27T12:00:00Z,Dallas Mavericks vs Brooklyn Nets,draftkings,Dallas Mavericks,-230
2023-10-27T12:00:00Z,Utah Jazz vs Los Angeles Clippers,draftkings,Los Angeles Clippers,-162
2023-10-27T12:00:00Z,Utah Jazz vs Los Angeles Clippers,draftkings,Utah Jazz,136
2023-10-27T12:00:00Z,Sacramento Kings vs Golden State Warriors,draftkings,Golden State Warriors,124
2023-10-27T12:00:00Z,Sacramento Kings vs Golden State Warriors,draftkings,Sacramento Kings,-148
2023-10-27T12:00:00Z,Portland Trail Blazers vs Orlando Magic,draftkings,Orlando Magic,-148
2023-10-27T12:00:00Z,Portland Trail Blazers vs Orlando Magic,draftkings,Portland Trail Blazers,124
2023-10-28T12:00:00Z,Detroit Pistons vs Chicago Bulls,draftkings,Chicago Bulls,-118
2023-10-28T12:00:00Z,Detroit Pistons vs Chicago Bulls,draftkings,Detroit Pistons,-102
2023-10-28T12:00:00Z,Washington Wizards vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-125
2023-10-28T12:00:00Z,Washington Wizards vs Memphis Grizzlies,draftkings,Washington Wizards,100
2023-10-28T12:00:00Z,New Orleans Pelicans vs New York Knicks,draftkings,New Orleans Pelicans,-162
2023-10-28T12:00:00Z,New Orleans Pelicans vs New York Knicks,draftkings,New York Knicks,136
2023-10-28T12:00:00Z,Cleveland Cavaliers vs Indiana Pacers,draftkings,Cleveland Cavaliers,-162
2023-10-28T12:00:00Z,Cleveland Cavaliers vs Indiana Pacers,draftkings,Indiana Pacers,136
2023-10-28T12:00:00Z,Toronto Raptors vs Philadelphia 76ers,draftkings,Philadelphia 76ers,-175
2023-10-28T12:00:00Z,Toronto Raptors vs Philadelphia 76ers,draftkings,Toronto Raptors,145
2023-10-28T12:00:00Z,Minnesota Timberwolves vs Miami Heat,draftkings,Miami Heat,160
2023-10-28T12:00:00Z,Minnesota Timberwolves vs Miami Heat,draftkings,Minnesota Timberwolves,-192
2023-10-28T12:00:00Z,Phoenix Suns vs Utah Jazz,draftkings,Phoenix Suns,-230
2023-10-28T12:00:00Z,Phoenix Suns vs Utah Jazz,draftkings,Utah Jazz,190
2023-10-29T12:00:00Z,Oklahoma City Thunder vs Denver Nuggets,draftkings,Denver Nuggets,-155
2023-10-29T12:00:00Z,Oklahoma City Thunder vs Denver Nuggets,draftkings,Oklahoma City Thunder,130
