,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,TEAM_NAME,GAME_DATE,Model Win Prob,WL,Difference,Would have profitted
950,984,2024-01-02,Memphis Grizzlies vs San Antonio Spurs,draftkings,Memphis Grizzlies,-700,0.875,Memphis Grizzlies,2024-01-02,0.23817776,1,-0.63682224,False
475,490,2023-11-27,Indiana Pacers vs Portland Trail Blazers,draftkings,Indiana Pacers,-800,0.8888888888888888,Indiana Pacers,2023-11-27,0.36566487,0,-0.5232240188888888,True
2034,2107,2024-03-23,Washington Wizards vs Toronto Raptors,draftkings,Washington Wizards,-230,0.696969696969697,Washington Wizards,2024-03-23,0.17915143,1,-0.517818266969697,False
2357,2442,2024-04-14,Oklahoma City Thunder vs Dallas Mavericks,draftkings,Dallas Mavericks,1000,0.0909090909090909,Dallas Mavericks,2024-04-14,0.60691005,0,0.516000959090909,False
1134,1175,2024-01-15,Washington Wizards vs Detroit Pistons,draftkings,Washington Wizards,-225,0.6923076923076923,Washington Wizards,2024-01-15,0.18767464,0,-0.5046330523076923,True
2186,2265,2024-04-03,Boston Celtics vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,295,0.2531645569620253,Oklahoma City Thunder,2024-04-03,0.753855,0,0.5006904430379748,False
1592,1649,2024-02-22,Indiana Pacers vs Detroit Pistons,draftkings,Indiana Pacers,-675,0.8709677419354839,Indiana Pacers,2024-02-22,0.3722041,1,-0.4987636419354839,False
1526,1581,2024-02-12,Charlotte Hornets vs Indiana Pacers,draftkings,Indiana Pacers,-625,0.8620689655172413,Indiana Pacers,2024-02-12,0.36399934,0,-0.4980696255172413,True
2332,2416,2024-04-12,Oklahoma City Thunder vs Milwaukee Bucks,draftkings,Milwaukee Bucks,650,0.1333333333333333,Milwaukee Bucks,2024-04-12,0.6307421,0,0.49740876666666667,False
1673,1733,2024-02-27,Boston Celtics vs Philadelphia 76ers,draftkings,Philadelphia 76ers,525,0.16,Philadelphia 76ers,2024-02-27,0.65694714,0,0.49694713999999995,False
